No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
19709,Jaipur - Kamakhya Ka...,3,NWR,3,0,0,1,0,0,0,0,LKO,14:10,KYQ,14:20,3:33,0:10
19409,Ahmedabad - Gorakhpu...,3,WR,2,0,0,0,0,0,1,1,LKO,14:20,GKP,14:30,0:03,0:10
11080,Gorakhpur - Mumbai L...,3,CR,4,0,0,0,0,0,0,1,LKO,14:20,LTT,14:30,1:38,0:10
15065,Gorakhpur - Panvel E...,3,NER,7,1,0,1,0,1,1,0,LKO,14:20,PNVL,14:30,0:39,0:10
15063,Gorakhpur - Mumbai L...,3,NER,4,0,1,0,0,0,0,0,LKO,14:20,LTT,14:30,1:44,0:10
15067,Gorakhpur - Mumbai B...,3,NER,2,0,0,0,1,0,0,0,LKO,14:20,BDTS,14:30,3:07,0:10
12876,Neelachal (Neelancha...,2,ECoR,4,1,0,1,0,0,1,0,LKO,14:30,PURI,14:35,2:11,0:05
13168,Agra Cantt. - Kolkat...,3,ER,6,0,0,0,0,0,0,1,LKO,14:30,KOAA,14:40,1:04,0:10
13307,Ganga Sutlej Express...,3,ECR,4,1,1,1,1,1,1,1,LKO,14:45,FZR,14:55,3:28,0:10
14222,Kanpur Anwarganj - F...,3,NR,1,1,1,1,1,1,1,1,LKO,14:50,FD,15:00,1:31,0:10
2112,Lucknow - Mumbai CSM...*,2,CR,3,0,0,0,1,0,0,0,LKO,15:00,CSTM,15:05,1:40,0:05
18103,Jallianwala Bagh Exp...,3,SER,6,0,0,1,0,1,0,0,LKO,15:05,ASR,15:15,0:08,0:10
12173,Udyog Nagri Express,2,CR,3,0,1,0,1,0,0,0,LKO,15:05,PBH,15:10,1:19,0:05
15030,Pune - Gorakhpur Ex...,3,NER,4,1,0,0,0,0,0,0,LKO,15:05,GKP,15:15,3:35,0:10
15270,Ahmedabad - Muzaffar...,3,ECR,7,0,1,0,0,0,0,0,LKO,15:20,MFP,15:30,2:23,0:10
12588,Jammu Tawi - Gorakhp...,2,NER,4,1,0,0,0,0,0,0,LKO,15:30,GKP,15:35,3:14,0:05
15654,Jammu Tawi - Guwahat...,3,NFR,4,0,0,0,0,0,0,1,LKO,15:30,GHY,15:40,3:19,0:10
15098,Jammu Tawi - Bhagalp...,3,NER,4,0,0,0,1,0,0,0,LKO,15:30,BGP,15:40,3:40,0:10
12332,Himgiri SF Express (...,2,ER,4,0,1,1,0,0,1,0,LKO,15:30,HWH,15:35,2:55,0:05
15652,Lohit Express (PT),3,NFR,5,0,0,0,0,1,0,0,LKO,15:30,GHY,15:40,1:19,0:10
4045,Gorakhpur - Anand Vi...,3,NR,2,0,1,0,0,0,0,0,LKO,15:30,ANVT,15:40,2:54,0:10
11112,Sushasan Express,3,NCR,3,0,0,0,0,1,0,0,LKO,15:35,GWL,15:45,0:43,0:10
13005,Howrah - Amritsar (P...,3,ER,4,1,1,1,1,1,1,1,LKO,15:45,ASR,15:55,3:03,0:10
64211,Lucknow - Kanpur MEM...*,4,NR,4,1,1,1,1,1,1,1,LKO,16:00,CNB,16:03,1:35,0:03
13049,Howrah - Amritsar Ex...,3,ER,6,1,1,1,1,1,1,1,LKO,16:10,ASR,16:20,3:07,0:10
14370,Triveni Express,3,NR,1,0,1,0,1,0,1,0,LKO,16:10,SGRL,16:20,2:02,0:10
24370,Triveni Express,3,NR,1,1,0,1,0,1,0,1,LKO,16:10,SKTN,16:20,1:33,0:10
14370,Bareilly - Barwadih ...,3,NR,1,0,1,0,1,0,1,0,LKO,16:10,BRWD,16:20,2:08,0:10
24370,Triveni Link Express,3,NR,1,1,0,1,0,1,0,1,LKO,16:10,BRWD,16:20,2:18,0:10
15023,Gorakhpur - Yesvantp...,3,NER,2,0,0,1,0,0,0,0,LKO,16:20,YPR,16:30,2:29,0:10
22122,Lucknow - Mumbai LTT...*,2,CR,3,1,0,0,0,0,0,0,LKO,16:20,LTT,16:25,1:30,0:05
14611,Ghazipur City - Shri...,3,NR,2,0,0,0,0,0,1,0,LKO,16:25,SVDK,16:35,1:07,0:10
74202,Lucknow - Pratapgarh...*,4,NR,8,0,1,1,1,1,1,1,LKO,16:30,PBH,16:33,1:43,0:03
51814,Lucknow-Jhansi Passe...*,5,NCR,5,1,1,1,1,1,1,1,LKO,16:35,JHS,16:50,3:58,0:15
14265,Varanasi - Dehradun ...,3,NR,1,1,1,1,1,1,1,1,LKO,16:45,DDN,16:55,2:41,0:10
64282,Lucknow - Sultanpur ...*,4,NR,2,1,1,1,1,1,1,1,LKO,16:45,SLN,16:48,2:25,0:03
54378,Bareilly - Prayag Pa...,5,NR,6,1,1,1,1,1,1,1,LKO,17:00,PRG,17:15,0:35,0:15
54234,Lucknow - Faizabad P...*,5,NR,6,1,1,1,1,1,1,1,LKO,17:05,FD,17:20,0:21,0:15
54331,Lucknow - Balamau Pa...*,5,NR,4,1,1,1,1,1,1,1,LKO,17:05,BLM,17:20,0:22,0:15
15636,Dwarka Express (PT),3,NFR,5,0,0,1,0,0,0,0,LKO,17:25,OKHA,17:35,0:51,0:10
15668,Kamakhya - Gandhidha...,3,NFR,4,0,0,0,0,1,0,0,LKO,17:25,GIMB,17:35,1:44,0:10
13152,Jammu Tawi - Kolkata...,3,ER,3,1,1,1,1,1,1,1,LKO,17:30,KOAA,17:40,3:06,0:10
12355,Archana SF Express,2,ECR,5,0,0,1,0,0,0,1,LKO,17:35,JAT,17:40,1:33,0:05
