No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
15621,Kamakhya - Anand Vih...,3,NFR,2,0,0,0,0,0,1,0,GKP,2:45,ANVT,2:55,2:58,0:10
12566,Bihar Sampark Kranti...,2,ECR,4,1,1,1,1,1,1,1,GKP,2:55,DBG,3:00,3:55,0:05
22412,New Delhi - Naharlag...,2,NR,5,0,1,0,0,0,0,0,GKP,3:25,NHLN,3:30,3:16,0:05
22922,Gorakhpur - Bandra T...*,2,WR,2,0,0,1,0,0,0,0,GKP,3:25,BDTS,3:30,2:38,0:05
2412,Arunachal AC SF Spec...,2,NR,5,0,0,0,0,0,1,0,GKP,3:25,NHLN,3:30,2:03,0:05
5705,Katihar - Delhi Cham...,2,NFR,8,0,0,0,1,0,0,0,GKP,3:40,DLI,3:45,0:46,0:05
15210,Amritsar - Saharsa J...,3,ECR,6,1,1,1,1,1,1,1,GKP,3:45,SHC,3:55,1:01,0:10
15211,Jan Nayak Express (U...,3,ECR,1,1,1,1,1,1,1,1,GKP,3:50,ASR,4:00,1:31,0:10
15069,Gorakhpur - Badshahn...*,3,NER,7,1,1,1,1,1,1,1,GKP,4:00,BNZ,4:10,2:56,0:10
12558,Sapt Kranti SF Expre...,2,ECR,4,1,1,1,1,1,1,1,GKP,4:05,MFP,4:10,0:40,0:05
14603,Saharsa - Amritsar J...,3,NR,3,0,0,0,0,0,0,1,GKP,4:20,ASR,4:30,0:52,0:10
15269,Muzaffarpur - Ahmeda...,3,ECR,3,0,0,0,0,0,1,0,GKP,4:20,ADI,4:30,2:08,0:10
15045,Gorakhpur - Okha Exp...*,3,NER,9,0,0,0,0,1,0,0,GKP,4:45,OKHA,4:55,0:04,0:10
19410,Gorakhpur - Ahmedaba...*,3,WR,9,1,0,0,0,0,0,1,GKP,4:45,ADI,4:55,2:57,0:10
12524,New Delhi - New Jalp...,2,NFR,6,0,1,0,0,1,0,0,GKP,4:55,NJP,5:00,2:08,0:05
12408,Amritsar - New Jalpa...,2,NR,2,0,0,0,0,0,0,1,GKP,4:55,NJP,5:00,1:41,0:05
19601,Udaipur City - New J...,3,NWR,6,1,0,0,0,0,0,0,GKP,4:55,NJP,5:05,2:27,0:10
11123,Barauni - Gwalior Ma...,3,NCR,1,1,1,1,1,1,1,1,GKP,5:05,GWL,5:15,2:49,0:10
15706,Champaran Humsafar E...,2,NFR,2,0,0,0,1,0,0,1,GKP,5:05,KIR,5:10,0:29,0:05
55025,Gorakhpur - Gonda Pa...*,5,NER,4,1,1,1,1,1,1,1,GKP,5:20,GD,5:35,2:40,0:15
5116,Anand Vihar Terminal...,3,NER,2,0,0,0,0,1,0,0,GKP,5:20,CPR,5:30,3:36,0:10
4403,Barauni - Anand Viha...,3,NR,1,1,0,0,0,1,0,0,GKP,5:25,ANVT,5:35,2:43,0:10
15018,Kashi Express (PT)*,3,NER,9,1,1,1,1,1,1,1,GKP,5:30,LTT,5:40,1:23,0:10
15018,Gorakhpur -SCSMT Kol...*,3,CR,9,1,1,1,1,1,1,1,GKP,5:30,KOP,5:40,2:42,0:10
11080,Gorakhpur - Mumbai L...*,3,CR,8,0,0,0,0,0,0,1,GKP,5:30,LTT,5:40,2:56,0:10
15065,Gorakhpur - Panvel E...*,3,NER,7,1,0,1,0,1,1,0,GKP,5:30,PNVL,5:40,3:49,0:10
15063,Gorakhpur - Mumbai L...*,3,NER,7,0,1,0,0,0,0,0,GKP,5:30,LTT,5:40,3:09,0:10
15067,Gorakhpur - Mumbai B...*,3,NER,7,0,0,0,1,0,0,0,GKP,5:30,BDTS,5:40,1:49,0:10
15203,Barauni - Lucknow Jn...,3,ECR,3,1,1,1,1,1,1,1,GKP,5:40,LJN,5:50,3:18,0:10
15708,Amrapali Express,3,NFR,5,1,1,1,1,1,1,1,GKP,6:00,KIR,6:10,0:56,0:10
12531,Gorakhpur - Lucknow ...*,2,NER,1,1,1,1,1,1,1,1,GKP,6:00,LJN,6:05,3:35,0:05
75013,Gorakhpur-Nautanwa D...*,2,NER,7,1,1,1,1,1,1,1,GKP,6:15,NTV,6:20,3:10,0:05
11056,Godan Express (PT)*,3,CR,8,1,0,1,1,0,1,0,GKP,6:20,LTT,6:30,2:55,0:10
12591,Gorakhpur - Yesvantp...*,2,NER,9,0,0,0,0,0,0,1,GKP,6:35,YPR,6:40,3:50,0:05
15008,Krishak Express,3,NER,5,1,1,1,1,1,1,1,GKP,6:35,BCY,6:45,3:42,0:10
12511,Gorakhpur - Thiruvan...*,2,NER,9,1,0,0,0,1,1,0,GKP,6:35,TVC,6:40,2:02,0:05
12521,Barauni - Ernakulam ...,2,ECR,1,0,0,1,0,0,0,0,GKP,6:35,ERS,6:40,2:47,0:05
12589,Gorakhpur - Secunder...*,2,NER,9,0,0,0,1,0,0,0,GKP,6:35,SC,6:40,3:05,0:05
15015,Gorakhpur - Yesvantp...*,3,NER,9,0,1,0,0,0,0,0,GKP,6:35,YPR,6:45,2:15,0:10
15656,Shri Mata Vaishno De...,3,NFR,1,0,0,0,0,1,0,0,GKP,6:55,KYQ,7:05,0:12,0:10
55072,Gorakhpur - Narkatia...*,5,NER,2,1,1,1,1,1,1,1,GKP,7:10,NKE,7:25,3:30,0:15
15028,Maurya Express*,3,NER,2,1,1,1,1,1,1,1,GKP,7:25,HTE,7:35,1:29,0:10
1454,Gorakhpur - Pune Jan...*,3,CR,7,0,0,1,0,0,0,0,GKP,7:25,PUNE,7:35,0:12,0:10
55001,Gorakhpur - Ayodhya ...*,5,NER,8,1,1,1,1,1,1,1,GKP,7:40,AY,7:55,2:00,0:15
15050,Purvanchal Express (...*,3,NER,9,0,0,0,1,0,0,1,GKP,8:00,KOAA,8:10,3:54,0:10
55141,Gorakhpur Nautanwa P...*,5,NER,4,1,1,1,1,1,1,1,GKP,8:00,NTV,8:15,0:08,0:15
15002,Rapti Ganga Express,3,NER,5,1,0,0,0,0,0,0,GKP,8:15,MFP,8:25,2:20,0:10
15280,Poorabiya Express,3,ECR,5,0,0,1,0,0,0,1,GKP,8:15,SHC,8:25,0:20,0:10
14604,Amritsar - Saharsa W...,3,NR,5,0,0,0,0,1,0,0,GKP,8:15,SHC,8:25,0:27,0:10
2597,Gorakhpur - Mumbai C...*,2,NER,7,0,0,0,0,0,0,1,GKP,8:25,CSMT,8:30,2:03,0:05
55020,Gorakhpur - Chhapra ...*,5,NER,2,1,1,1,1,1,1,1,GKP,8:30,CPR,8:45,2:45,0:15
22531,Chhapra - Mathura Ex...,2,NER,1,0,1,0,1,0,1,0,GKP,8:30,MTJ,8:35,2:41,0:05
12597,Gorakhpur - Mumbai C...*,2,NER,8,0,0,1,0,0,0,0,GKP,8:30,CSMT,8:35,0:12,0:05
5007,Ramnagar - Howrah Sp...,3,NER,5,0,0,0,0,0,0,1,GKP,8:35,HWH,8:45,3:26,0:10
15023,Gorakhpur - Yesvantp...*,3,NER,9,0,0,1,0,0,0,0,GKP,8:50,YPR,9:00,2:35,0:10
12554,Vaishali SF Express ...,2,ECR,2,1,1,1,1,1,1,1,GKP,9:10,BJU,9:15,3:51,0:05
4404,Anand Vihar Terminal...,3,NR,2,0,0,0,1,0,0,1,GKP,9:45,BJU,9:55,1:46,0:10
