No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,stoppage
64595,Mughalsarai - Allaha...*,4,NCR,2,1,1,1,1,1,1,1,ALD,20:15,MGS,20:17,1:56,0:02
12792,Danapur - Secunderab...,2,SCR,8,1,1,1,1,1,1,1,ALD,20:20,DNR,20:25,1:47,0:05
4112,Jammu Tawi - Allahab...*,3,NCR,2,0,0,0,0,0,1,0,ALD,20:25,JAT,20:33,2:46,0:08
12427,Rewa - Anand Vihar T...,2,NR,3,1,1,1,1,1,1,1,ALD,20:30,REWA,20:35,1:50,0:05
21068,Saket Link Express,3,CR,8,1,0,0,0,1,0,0,ALD,20:30,RBL,20:38,0:47,0:08
14118,Manwar Sangam Expres...*,3,NCR,10,0,1,1,1,0,1,1,ALD,20:30,BST,20:38,0:57,0:08
11068,Saket Express,3,CR,8,1,0,0,0,1,0,0,ALD,20:35,FD,20:43,0:37,0:08
14370,Triveni Express,3,NR,10,0,1,0,1,0,1,0,ALD,20:55,BE,21:03,2:31,0:08
24370,Triveni Express,3,NR,10,1,0,1,0,1,0,1,ALD,20:55,BE,21:03,3:10,0:08
14370,Bareilly - Barwadih ...,3,NR,10,0,1,0,1,0,1,0,ALD,20:55,BE,21:03,0:52,0:08
24370,Triveni Link Express,3,NR,10,1,0,1,0,1,0,1,ALD,20:55,BE,21:03,2:44,0:08
15003,Chauri Chaura Expres...,3,NER,9,1,1,1,1,1,1,1,ALD,21:00,CPA,21:08,0:09,0:08
12947,Azimabad Express (PT...,2,WR,4,0,0,1,0,1,0,0,ALD,21:35,ADI,21:40,3:31,0:05
25631,Bikaner - Guwahati E...,3,NFR,4,0,1,0,1,0,0,0,ALD,21:35,BKN,21:43,3:02,0:08
15631,Barmer - Guwahati Ex...,3,NFR,4,0,1,0,1,0,0,0,ALD,21:35,BME,21:43,1:50,0:08
22433,Suhaildev SF Express...,2,NR,6,0,0,1,0,0,0,1,ALD,21:35,GCT,21:40,1:30,0:05
12303,Poorva Express (via ...,2,ER,3,0,1,1,0,0,1,1,ALD,21:40,HWH,21:45,0:44,0:05
12381,Poorva Express (via ...,2,ER,7,1,0,0,1,1,0,0,ALD,21:40,HWH,21:45,2:24,0:05
4042,Anand Vihar Terminal...,3,NR,2,1,0,0,1,0,0,0,ALD,21:55,ANVT,22:03,0:26,0:08
11108,Bundelkhand Express,3,NCR,9,1,1,1,1,1,1,1,ALD,22:00,BSB,22:08,0:06,0:08
21108,Bundelkhand Link Exp...,3,NCR,9,0,1,0,1,0,0,1,ALD,22:00,BSB,22:08,3:34,0:08
12559,Shiv Ganga Express (...,2,NER,6,1,1,1,1,1,1,1,ALD,22:05,MUV,22:10,3:06,0:05
