No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
16787,Tirunelveli - Shri M...,3,SR,2,1,0,0,1,0,0,0,JHS,14:00,TEN,14:10,0:46,0:10
16687,Navyug Express (PT),3,SR,2,0,0,0,1,0,0,0,JHS,14:00,MAQ,14:10,2:08,0:10
12687,Madurai - Chandigarh...,2,SR,6,0,0,1,0,0,1,0,JHS,14:00,MDU,14:05,3:46,0:05
12280,Taj Express*,2,NR,1,1,1,1,1,1,1,1,JHS,14:10,NDLS,14:15,2:13,0:05
12137,Punjab Mail (PT),2,CR,5,1,1,1,1,1,1,1,JHS,14:20,CSMT,14:25,2:52,0:05
22868,Hazrat Nizamuddin - ...,2,SECR,2,0,0,0,1,0,0,1,JHS,14:20,NZM,14:25,0:40,0:05
12648,Kongu Express,2,SR,2,0,0,0,1,0,0,0,JHS,14:30,NZM,14:35,0:11,0:05
12808,Samta Express,2,ECoR,2,0,1,1,0,1,1,1,JHS,14:30,NZM,14:35,1:34,0:05
16031,Andaman Express,3,SR,5,0,1,0,0,1,1,0,JHS,14:45,MAS,14:55,0:33,0:10
11449,Jabalpur - Katra (Du...,3,WCR,4,0,0,1,0,0,0,0,JHS,14:45,JBP,14:55,2:38,0:10
16093,Chennai Central - Lu...,3,SR,5,1,0,0,1,0,0,0,JHS,14:45,MAS,14:55,3:07,0:10
18508,Hirakud (Hirakund) E...,3,ECoR,3,1,1,0,0,1,0,0,JHS,14:55,ASR,15:05,1:52,0:10
12630,Karnataka Sampark Kr...,2,SWR,2,0,0,0,1,0,1,0,JHS,14:55,NZM,15:00,0:20,0:05
12943,Udyogkarmi Express (...,2,WR,5,0,0,0,0,1,0,0,JHS,14:55,BL,15:00,0:14,0:05
1453,Pune - Gorakhpur Jan...,3,CR,2,0,1,0,0,0,0,0,JHS,14:55,PUNE,15:05,0:33,0:10
22686,Chandigarh - Yesvant...,2,SWR,3,0,0,1,0,0,0,1,JHS,14:55,CDG,15:00,3:12,0:05
9013,Mumbai Central - Luc...,2,WR,2,0,0,0,0,0,1,0,JHS,15:00,MMCT,15:05,3:47,0:05
82907,Mumbai Central - Luc...,2,WR,2,0,0,0,0,0,1,0,JHS,15:00,MMCT,15:05,2:14,0:05
12175,Howrah - Gwalior Cha...,2,NCR,2,0,1,0,1,1,0,0,JHS,15:10,HWH,15:15,2:34,0:05
12177,Howrah - Mathura Cha...,2,NCR,4,0,0,0,0,0,0,1,JHS,15:10,HWH,15:15,0:56,0:05
19666,Udaipur City - Khaju...,3,NWR,2,1,1,1,1,1,1,1,JHS,15:20,UDZ,15:30,2:45,0:10
12618,Mangala Lakshadweep ...,2,SR,2,1,1,1,1,1,1,1,JHS,15:30,NZM,15:35,2:50,0:05
51817,Khajuraho - Jhansi P...*,5,NCR,4,1,1,1,1,1,1,1,JHS,15:30,KURJ,15:50,2:25,0:20
4133,Allahabad - Bandra T...,3,NCR,2,0,0,0,1,0,0,0,JHS,15:40,ALD,15:50,0:55,0:10
1707,Jabalpur - Atari Spe...,3,WCR,2,0,0,1,0,0,0,1,JHS,16:35,JBP,16:45,1:36,0:10
12591,Gorakhpur - Yesvantp...,2,NER,2,0,0,0,0,0,0,1,JHS,16:45,GKP,16:50,0:59,0:05
12511,Gorakhpur - Thiruvan...,2,NER,2,1,0,0,0,1,1,0,JHS,16:45,GKP,16:50,1:11,0:05
12521,Barauni - Ernakulam ...,2,ECR,1,0,0,1,0,0,0,0,JHS,16:45,BJU,16:50,2:22,0:05
12589,Gorakhpur - Secunder...,2,NER,1,0,0,0,1,0,0,0,JHS,16:45,GKP,16:50,1:15,0:05
15015,Gorakhpur - Yesvantp...,3,NER,2,0,1,0,0,0,0,0,JHS,16:45,GKP,16:55,2:07,0:10
22126,Amritsar - Nagpur AC...,2,CR,2,0,1,0,0,0,0,0,JHS,17:15,ASR,17:20,1:13,0:05
11078,Jhelum Express,3,CR,3,1,1,1,1,1,1,1,JHS,17:20,JAT,17:30,0:30,0:10
19165,Ahmedabad - Darbhang...,3,WR,4,0,1,0,0,1,0,1,JHS,17:25,ADI,17:35,1:08,0:10
19167,Ahmedabad - Varanasi...,3,WR,5,1,0,1,1,0,1,0,JHS,17:25,ADI,17:35,2:35,0:10
12626,Kerala Express (PT),2,SR,2,1,1,1,1,1,1,1,JHS,17:40,NDLS,17:45,2:49,0:05
54160,Allahabad - Jhansi P...*,5,NCR,4,1,1,1,1,1,1,1,JHS,18:15,ALD,18:35,1:07,0:20
11123,Barauni - Gwalior Ma...,3,NCR,3,1,1,1,1,1,1,1,JHS,18:30,BJU,18:40,1:54,0:10
12001,Habibganj - New Delh...,1,NR,4,1,1,1,1,1,1,1,JHS,18:32,HBJ,18:35,0:53,0:03
51811,Bina - Jhansi Passen...*,5,NCR,7,1,1,1,1,1,1,1,JHS,18:55,BINA,19:15,3:21,0:20
12597,Gorakhpur - Mumbai C...,2,NER,2,0,0,1,0,0,0,0,JHS,18:55,GKP,19:00,0:24,0:05
2597,Gorakhpur - Mumbai C...,2,NER,2,0,0,0,0,0,0,1,JHS,18:55,GKP,19:00,2:32,0:05
19306,Guwahati - Indore Ex...,3,WR,2,0,1,0,0,0,0,0,JHS,18:55,KYQ,19:05,1:22,0:10
1454,Gorakhpur - Pune Jan...,3,CR,2,0,0,1,0,0,0,0,JHS,19:00,GKP,19:10,2:45,0:10
11015,Kushinagar Express (...,3,CR,1,1,1,1,1,1,1,1,JHS,19:10,LTT,19:20,3:58,0:10
59386,Penchvalley Passenge...,5,CR,1,0,1,1,0,0,1,1,JHS,19:10,CWA,19:30,3:18,0:20
18478,Kalinga Utkal Expres...,3,ECoR,3,1,1,1,1,1,1,1,JHS,19:15,HW,19:25,0:02,0:10
11407,Pune - Lucknow Jn. E...,3,CR,2,0,0,0,1,0,0,0,JHS,19:20,PUNE,19:30,1:08,0:10
22403,Puducherry - New Del...,2,NR,4,0,0,0,0,1,0,0,JHS,19:25,PDY,19:30,2:43,0:05
14624,Patalkot Express,3,NR,3,1,1,1,1,1,1,1,JHS,19:25,DEE,19:35,3:02,0:10
12716,Sachkhand Express,2,SCR,3,1,1,1,1,1,1,1,JHS,19:46,ASR,19:51,1:17,0:05
11080,Gorakhpur - Mumbai L...,3,CR,4,0,0,0,0,0,0,1,JHS,20:10,GKP,20:20,2:21,0:10
15065,Gorakhpur - Panvel E...,3,NER,2,1,0,1,0,1,1,0,JHS,20:10,GKP,20:20,1:36,0:10
15063,Gorakhpur - Mumbai L...,3,NER,2,0,1,0,0,0,0,0,JHS,20:10,GKP,20:20,3:31,0:10
15067,Gorakhpur - Mumbai B...,3,NER,2,0,0,0,1,0,0,0,JHS,20:10,GKP,20:20,4:00,0:10
51816,Agra Cantt. - Jhansi...*,5,NCR,2,1,1,1,1,1,1,1,JHS,20:15,AGC,20:35,2:00,0:20
12270,Hazrat Nizamuddin - ...,1,SR,2,0,0,1,0,0,0,1,JHS,20:22,NZM,20:25,2:28,0:03
12286,Hazrat Nizamuddin - ...,1,SCR,2,0,1,0,0,0,1,0,JHS,20:22,NZM,20:25,2:29,0:03
